EmployeeID,FirstName,LastName,Department,Role,HireDate,TerminationDate,Gender,Location,Salary,Bonus,StockOptions,PerformanceRating,Promotion,EngagementScore,ManagerRating,Attrition,TenureInDays
E1924,Émile,Gilbert,Human Resources,Sales Development Rep,2016-01-09,,Unknown,Bordeaux,60240,2351.55,1000,,,5,2,0,3586
E1255,Maggie,Pineau,Human Resources,Accountant,2022-12-03,,Unknown,Paris,182239,6900.24,200,,Yes,1,3,0,1066
E1617,Matthieu,Lebrun,Finance,Senior Accountant,2016-07-02,2020-11-22,Female,Paris,183365,4708.96,200,5,No,5,6,1,1604
E1487,Océane,Maillard,Human Resources,Controller,2022-09-03,,NaN,Nantes,124843,3795.55,500,,No,2,8,0,1157
E1847,François,Bazin,Finance,Analyst,2015-12-03,2025-02-28,Female,Lyon,186343,7859.29,1200,2,No,8,8,1,3375
E1760,Marianne,David,Engineering,Customer Success Manager,2018-12-15,,Female,Bordeaux,153298,6440.32,500,,Yes,5,6,0,2515
E1650,Henriette,Roux,Marketing,Analyst,2023-03-11,,Unknown,Nantes,182761,4550.12,0,3,No,10,5,0,968
E1004,Pénélope,Maurice,Sales,Specialist,2023-05-08,,Unknown,Montpellier,152998,3348.8,1200,4,Yes,2,10,0,910
E1187,Yves,Fleury,Finance,Solutions Engineer,2023-12-13,,NaN,Montpellier,69089,2444.55,0,1,No,1,1,0,691
E1840,Guillaume,Munoz,Finance,Solutions Engineer,2018-11-06,,Unknown,Bordeaux,170111,3860.75,1000,,,6,6,0,2554
E1706,Nicole,Joly,Human Resources,HR Machine Learning Engineer,2017-04-25,,NaN,Paris,121121,2884.33,200,5,No,9,2,0,3114
E1871,Laetitia,Bodin,Human Resources,Controller,2022-12-11,,Female,Remote,244476,11301.79,1200,,,10,10,0,1058
E1837,Margaux,Turpin,Marketing,Technical Lead,2024-05-26,,Unknown,Paris,165024,7448.61,1200,,,2,10,0,526
E1124,Alain,Gonzalez,Engineering,Social Media Manager,2022-10-27,,Unknown,Bordeaux,224766,10998.05,0,,,1,6,0,1103
E1264,Robert,Seguin,Engineering,Backend Engineer,2022-09-26,,Unknown,Nantes,229537,8462.67,1200,4,No,3,7,0,1134
E1130,Simone,Perrot,Sales,FP&A Manager,2019-07-25,,Non-Binary,Paris,44612,956.16,1000,,,1,8,0,2293
E1653,Laure,Pineau,Human Resources,Senior Software Engineer,2018-05-03,,Non-Binary,Lyon,242933,10049.51,0,3,Yes,5,1,0,2741
E1353,Célina,Boutin,Sales,Account Executive,2016-11-29,,NaN,Remote,113729,2509.4,1200,,,3,2,0,3261
E1163,Margaux,Grégoire,Finance,Data Scientist,2024-02-12,,Unknown,Bordeaux,183167,8377.0,1200,3,No,6,9,0,630
E1439,Gilbert,Marchal,Engineering,People Analyst,2017-10-12,,Unknown,Nantes,132378,5176.21,1200,4,No,4,2,0,2944
E1379,Josette,Legros,Human Resources,Data Scientist,2017-05-31,,Female,Montpellier,45236,2121.4,1000,,No,10,4,0,3078
E1044,Anastasie,Andre,Sales,Sales Development Rep,2017-03-09,,Female,Bordeaux,180792,6060.37,1000,5,No,9,7,0,3161
E1250,Sylvie,Guillot,Engineering,Product Marketing Manager,2024-06-19,2025-10-23,Male,Lyon,176778,7833.15,500,5,Yes,1,9,1,491
E1851,Jérôme,Valentin,Sales,Compensation Analyst,2021-04-25,,Unknown,Remote,188271,5474.84,200,3,Yes,2,2,0,1653
E1524,Christiane,Pinto,Engineering,Marketing Manager,2017-04-01,,Unknown,Paris,112678,4382.47,200,,,6,7,0,3138
E1974,Matthieu,Adam,Sales,Controller,2018-07-14,2025-08-17,Female,Remote,222337,6213.13,1000,1,No,7,6,1,2591
E1923,Émile,Blin,Finance,HR Data Scientist,2020-06-11,,Female,Remote,190645,6892.33,1000,5,No,1,4,0,1971
E1984,Roland,Benard,Human Resources,Machine Learning Engineer,2024-05-09,2025-10-12,Female,Montpellier,242588,7985.46,0,2,No,1,4,1,521
E1245,Éric,Seguin,Marketing,Digital Marketing Analyst,2017-09-18,,Unknown,Bordeaux,61963,1759.65,1000,3,No,1,3,0,2968
E1172,Henriette,Barre,Engineering,Controller,2024-06-23,,Female,Montpellier,40627,938.56,1000,,,2,10,0,498
E1204,Louis,Lamy,Finance,Accountant,2023-03-03,,Unknown,Nantes,136022,4074.04,1200,4,No,8,3,0,976
E1616,Michèle,Gautier,Sales,Coordinator,2020-01-03,,NaN,Remote,144153,3606.5,1000,,,8,10,0,2131
E1780,Simone,Barre,Sales,Financial Analyst,2022-03-17,,Non-Binary,Remote,245273,10296.9,1200,2,No,3,6,0,1327
E1697,Alex,Gimenez,Finance,Sales Manager,2019-05-07,2025-09-01,Female,Paris,90714,1906.38,1200,,No,2,8,1,2309
E1526,Olivier,Paris,Sales,Machine Learning Engineer,2022-03-24,,Unknown,Paris,127465,3625.11,1200,,,10,3,0,1320
E1627,Guy,Mahe,Marketing,Machine Learning Engineer,2020-05-07,,Unknown,Bordeaux,53212,1413.4,0,5,No,7,9,0,2006
E1605,Stéphanie,Dumont,Human Resources,Regional Sales Director,2015-12-20,,Male,Lyon,218605,8501.93,500,,,2,8,0,3606
E1927,Philippe,Devaux,Human Resources,Customer Success Manager,2018-06-04,,NaN,Nantes,65950,2201.86,0,5,No,6,9,0,2709
E1345,Nicolas,Nguyen,Human Resources,Regional Sales Director,2018-09-06,2025-08-31,Unknown,Bordeaux,111932,2950.92,1200,3,No,2,8,1,2551
E1241,Capucine,Lombard,Sales,Solutions Engineer,2016-02-19,,Male,Remote,222743,10427.01,1000,2,No,2,10,0,3545
E1236,Louise,Descamps,Sales,Sales Development Rep,2016-05-02,,Male,Remote,174135,5851.27,1200,3,No,4,10,0,3472
E1508,Lucas,Blanc,Engineering,QA Engineer,2022-08-16,2024-01-28,Unknown,Nantes,192887,8760.14,0,,No,8,8,1,530
E1160,Lorraine,Boulanger,Finance,People Analyst,2024-07-12,,Male,Paris,75053,2743.79,1000,3,No,4,1,0,479
E1243,Stéphane,Toussaint,Engineering,Product Marketing Manager,2017-01-31,2021-08-13,NaN,Nantes,46373,1478.01,1200,,No,2,7,1,1655
E1239,Nath,Didier,Human Resources,Internal Auditor,2019-04-01,,Non-Binary,Paris,134911,3815.25,200,3,Yes,8,2,0,2408
E1010,Chantal,Gérard,Finance,Product Marketing Manager,2022-08-17,2025-03-15,Unknown,Montpellier,77355,1580.32,0,,,10,6,1,941
E1419,Anaïs,Daniel,Sales,Customer Success Manager,2023-11-07,,Unknown,Paris,242823,11521.3,0,,No,8,5,0,727
E1811,Eugène,Hoarau,Finance,Backend Engineer,2018-04-05,,Female,Montpellier,249847,5486.35,1000,,,4,10,0,2769
E1875,Sophie,Joseph,Finance,Customer Success Manager,2021-11-29,,Female,Remote,130442,4495.8,1000,,,10,5,0,1435
E1607,Alexandria,Humbert,Sales,FP&A Manager,2019-09-28,2023-03-09,Unknown,Montpellier,216181,9688.81,0,1,No,1,7,1,1258
E1170,Laurence,Leclercq,Sales,Account Executive,2019-09-11,2024-04-22,Female,Montpellier,46126,1937.35,0,1,Yes,3,3,1,1685
E1138,Martin,Garnier,Sales,Compensation Analyst,2024-02-05,,Non-Binary,Montpellier,228579,9885.17,0,,,6,9,0,637
E1553,Olivier,Aubert,Human Resources,Inside Sales Rep,2024-04-15,2025-09-02,Male,Nantes,60923,3015.26,500,5,No,1,1,1,505
E1775,Luce,Martinez,Engineering,Sales Development Rep,2018-10-29,2025-10-13,Male,Montpellier,143224,7027.97,200,,,8,1,1,2541
E1045,Bernard,Muller,Human Resources,Graphic Designer,2017-01-29,2025-05-29,Non-Binary,Paris,112836,5139.7,200,3,No,2,7,1,3042
E1874,Sébastien,Hervé,Human Resources,DevOps Engineer,2018-06-14,,Unknown,Remote,117210,4436.17,1000,,Yes,9,9,0,2699
E1167,Pénélope,Faivre,Human Resources,Customer Success Manager,2021-09-14,2025-09-02,Unknown,Nantes,192789,9115.49,1000,,No,7,2,1,1449
E1184,Henri,Tessier,Engineering,Controller,2023-12-21,,Female,Lyon,221600,6171.67,0,1,No,5,10,0,683
E1126,Louis,Weber,Finance,Internal Auditor,2018-06-30,,Unknown,Lyon,52241,1792.11,0,2,No,4,2,0,2683
E1711,Jacqueline,Hardy,Sales,Account Executive,2021-01-14,,Unknown,Remote,172281,3956.47,200,4,Yes,4,5,0,1754
E1157,Célina,Philippe,Human Resources,Technical Lead,2018-12-29,,Non-Binary,Paris,186975,5815.1,1000,5,No,9,10,0,2501
E1147,Vincent,Mercier,Finance,Coordinator,2022-11-04,,Unknown,Paris,114569,3375.31,1200,3,Yes,6,5,0,1095
E1402,Robert,Carlier,Engineering,Inside Sales Rep,2021-11-07,2025-02-22,Female,Bordeaux,179055,5336.42,0,3,No,3,7,1,1203
E1570,Yves,Chrétien,Finance,Accountant,2018-02-20,,Unknown,Montpellier,152777,3837.85,200,,,7,9,0,2813
E1331,Simone,Collet,Human Resources,Sales Development Rep,2020-02-21,,Non-Binary,Paris,244256,10571.82,500,2,No,10,3,0,2082
E1783,Jeannine,Raymond,Finance,Financial Analyst,2022-12-02,,Non-Binary,Remote,148516,3927.68,500,2,Yes,8,5,0,1067
E1628,Emmanuel,Faivre,Engineering,Inside Sales Rep,2022-03-02,,NaN,Paris,242313,5554.42,1200,3,No,7,4,0,1342
E1141,Élisabeth,Arnaud,Finance,People Analyst,2019-03-28,,Unknown,Paris,221584,7467.21,1200,3,No,4,5,0,2412
E1183,Margot,Bailly,Finance,VP of Sales,2021-07-06,,Female,Bordeaux,83468,3341.32,0,4,No,6,10,0,1581
E1240,Martine,Maillet,Finance,SEO Specialist,2018-07-03,2025-08-30,Non-Binary,Nantes,183545,6834.25,0,2,No,4,5,1,2615
E1662,Alex,Blin,Finance,Frontend Engineer,2023-04-18,2024-09-21,Male,Bordeaux,191072,7607.5,0,,,6,5,1,522
E1606,Agathe,Gautier,Finance,Senior Accountant,2022-07-04,,Non-Binary,Nantes,89758,3043.49,1000,5,No,10,7,0,1218
E1545,Daniel,Gomes,Sales,Sales Development Rep,2023-01-16,,Non-Binary,Remote,170780,7668.9,1000,1,No,2,5,0,1022
E1019,Nicole,Morvan,Human Resources,Software Engineer,2016-07-18,,Non-Binary,Nantes,166731,4893.8,200,5,Yes,9,5,0,3395
E1020,Madeleine,Olivier,Human Resources,VP of Sales,2024-10-28,2025-10-29,Non-Binary,Remote,184141,6912.38,1000,4,No,4,2,1,366
E1275,Thérèse,Blanchet,Sales,HR Coordinator,2022-11-09,2025-05-16,Male,Montpellier,164371,4974.15,1000,,No,5,2,1,919
E1821,Noël,Parent,Human Resources,Customer Success Manager,2015-12-26,,Female,Montpellier,242280,12009.47,1000,,,2,5,0,3600
E1346,Alex,Guillet,Sales,Marketing Manager,2016-09-09,,NaN,Nantes,45218,954.32,1000,,Yes,2,1,0,3342
E1081,Marguerite,Coste,Engineering,People Analyst,2022-08-01,2024-05-12,Unknown,Lyon,48517,1391.22,200,5,No,8,9,1,650
E1889,François,Clément,Human Resources,People Analyst,2021-01-20,2023-01-18,Male,Nantes,216424,7626.44,200,,,2,4,1,728
E1457,Jacques,Baudry,Sales,Regional Sales Director,2016-02-07,,NaN,Lyon,57656,2860.56,1200,1,No,2,5,0,3557
E1750,Étienne,Brun,Human Resources,Sales Development Rep,2016-04-17,,Non-Binary,Bordeaux,75252,2022.57,0,,,5,6,0,3487
E1428,Alexandrie,Gonzalez,Engineering,Sales Manager,2022-11-30,,Male,Lyon,139942,6026.91,200,,,4,5,0,1069
E1963,Émilie,Lambert,Sales,Customer Success Manager,2018-03-07,2022-07-23,Unknown,Lyon,79141,2936.98,500,2,No,7,1,1,1599
E1795,Geneviève,Fouquet,Finance,Account Executive,2021-05-11,2023-03-28,Male,Lyon,133829,3273.8,1200,,,4,2,1,686
E1540,Georges,Leblanc,Sales,HR Coordinator,2019-03-15,,Male,Montpellier,246818,9907.89,1200,1,No,9,2,0,2425
E1983,Claire,Leclercq,Engineering,Sales Development Rep,2021-11-21,,Unknown,Nantes,115457,5646.99,200,1,No,10,3,0,1443
E1108,Noémi,Bodin,Human Resources,Machine Learning Engineer,2017-04-05,,Unknown,Remote,190523,9329.86,500,,No,1,9,0,3134
E1042,Maggie,Le Gall,Unknown,Inside Sales Rep,2019-07-28,,Male,Paris,110124,3287.9,1200,,,4,2,0,2290
E1466,Capucine,Samson,Sales,Specialist,2020-05-08,,Male,Lyon,133928,6577.54,1200,,No,10,5,0,2005
E1286,Pauline,Gosselin,Human Resources,Product Marketing Manager,2022-01-19,,Female,Bordeaux,139357,6303.12,0,,No,6,7,0,1384
E1770,Élise,Tanguy,Sales,Frontend Engineer,2016-03-01,,Non-Binary,Paris,86579,2760.49,1000,,No,5,7,0,3534
E1450,Léon,Camus,Human Resources,HR Machine Learning Engineer,2016-11-19,,Female,Montpellier,237962,10859.29,0,1,No,6,4,0,3271
E1026,Christophe,Munoz,Unknown,Inside Sales Rep,2017-04-06,,Female,Bordeaux,137558,4990.48,200,4,No,9,5,0,3133
E1168,Henri,Bouvier,Sales,Associate,2020-11-06,,NaN,Remote,200475,8238.62,1000,,,8,4,0,1823
E1701,Nathalie,Berger,Marketing,Internal Auditor,2019-07-26,,Female,Lyon,137464,3443.09,1000,1,No,9,2,0,2292
E1152,Colette,Bernier,Engineering,HR Data Scientist,2018-10-21,,Unknown,Montpellier,146911,6315.15,1000,1,No,2,4,0,2570
E1563,Anouk,Durand,Finance,Associate,2024-05-21,2025-07-02,Female,Nantes,222406,9454.02,500,1,No,9,6,1,407
E1921,Danielle,Barthelemy,Finance,Controller,2016-09-24,,Male,Bordeaux,205767,9025.43,1000,,No,8,10,0,3327
E1096,Danielle,Jacques,Engineering,Specialist,2024-02-28,,Male,Nantes,93336,4341.32,1000,1,Yes,8,7,0,614
E1158,Virginie,Valette,Human Resources,Regional Sales Director,2022-09-02,,NaN,Montpellier,70252,2133.1,500,5,No,5,6,0,1158
E1509,Alex,Buisson,Sales,Payroll Specialist,2017-05-13,2022-07-01,Male,Bordeaux,56749,1966.53,1200,4,No,4,5,1,1875
E1333,Capucine,Moulin,Finance,Customer Success Manager,2020-05-06,,Male,Bordeaux,220345,5836.67,1200,4,Yes,10,1,0,2007
E1179,Lucie,Louis,Unknown,Compensation Analyst,2022-12-12,,Male,Montpellier,148830,6236.36,1000,,,7,2,0,1057
E1681,Paul,Marion,Finance,Internal Auditor,2019-06-16,2021-04-06,Unknown,Bordeaux,211211,6067.37,500,,,8,2,1,660
E1012,Emmanuelle,Delorme,Finance,Machine Learning Engineer,2022-11-23,,NaN,Remote,190976,4947.01,1200,2,No,8,8,0,1076
E1055,Olivier,Philippe,Finance,Payroll Specialist,2020-04-26,2022-07-24,Female,Remote,208328,5442.85,1200,5,No,4,7,1,819
E1288,Émile,Blanchard,Unknown,Backend Engineer,2017-02-01,2019-04-01,Unknown,Montpellier,111705,2901.9,1000,,No,5,8,1,789
E1554,Franck,Poulain,Marketing,Marketing Manager,2021-06-29,,NaN,Nantes,184567,5546.8,1200,1,No,4,3,0,1588
E1300,Eugène,Albert,Sales,HR Data Scientist,2019-05-09,,Non-Binary,Lyon,205806,6084.42,1000,3,No,3,6,0,2370
E1296,Brigitte,Guyon,Engineering,Social Media Manager,2020-09-29,,NaN,Lyon,236775,9026.95,1000,1,Yes,8,4,0,1861
E1077,Marthe,Delaunay,Unknown,Financial Analyst,2016-04-12,,Unknown,Paris,192954,4345.12,500,3,No,5,5,0,3492
E1354,Charles,Jacquot,Engineering,Brand Manager,2017-09-04,,Female,Paris,211399,8737.31,1000,1,No,9,3,0,2982
E1350,Louise,Robin,Unknown,Financial Analyst,2020-11-04,2025-09-27,Non-Binary,Montpellier,192855,3936.28,1000,1,Yes,5,6,1,1788
E1954,Lucy,Guillaume,Human Resources,Coordinator,2016-05-29,,Non-Binary,Lyon,49840,1283.69,1000,1,Yes,7,8,0,3445
E1930,Nath,Didier,Human Resources,Account Executive,2024-09-23,2025-09-25,Unknown,Bordeaux,96631,3296.54,1200,2,Yes,4,3,1,367
E1098,Antoine,Diallo,Marketing,HR Data Scientist,2016-06-28,2021-11-08,NaN,Lyon,217737,9394.68,1200,,Yes,7,7,1,1959
E1909,Michèle,Lecomte,Finance,FP&A Manager,2016-08-25,2021-05-23,NaN,Lyon,237745,6212.56,1000,,Yes,8,6,1,1732
E1057,Françoise,Reynaud,Finance,Specialist,2023-10-08,,Female,Montpellier,144495,4948.21,1200,1,Yes,4,10,0,757
E1568,Franck,Pelletier,Finance,Accountant,2020-02-10,,NaN,Montpellier,170013,5836.78,0,4,Yes,7,9,0,2093
E1717,Antoinette,Durand,Engineering,Specialist,2019-11-12,,Unknown,Nantes,114366,3073.88,0,1,No,7,8,0,2183
E1364,Martine,Hamon,Finance,Inside Sales Rep,2022-06-25,2025-09-10,Female,Paris,153796,3160.72,1200,5,Yes,4,10,1,1173
E1975,Jacqueline,Fleury,Human Resources,Data Scientist,2017-10-11,,Male,Montpellier,100094,4367.88,200,,,9,9,0,2945
E1520,Margaud,Girard,Human Resources,Machine Learning Engineer,2016-12-29,2022-05-17,NaN,Remote,172884,3763.22,200,4,No,7,1,1,1965
E1109,Patricia,Fernandes,Engineering,Inside Sales Rep,2019-11-10,,Unknown,Lyon,88549,1899.55,0,3,No,10,2,0,2185
E1621,Corinne,Olivier,Finance,Regional Sales Director,2021-03-19,,Female,Montpellier,107934,4009.47,500,1,Yes,5,4,0,1690
E1999,Henri,Maillard,Engineering,Engineering Manager,2020-10-06,,Non-Binary,Nantes,176974,4210.8,200,5,Yes,2,4,0,1854
E1528,Anouk,Mathieu,Engineering,Regional Sales Director,2019-01-24,,Unknown,Remote,142427,6630.66,1000,5,No,5,4,0,2475
E1001,Joséphine,Muller,Marketing,Coordinator,2020-08-24,,Unknown,Paris,237369,9547.68,500,1,No,7,2,0,1897
E1119,Marthe,Lesage,Engineering,Social Media Manager,2016-03-01,2025-01-25,Non-Binary,Bordeaux,202017,4282.64,1200,1,No,2,1,1,3252
E1385,Emmanuelle,Lagarde,Sales,Content Strategist,2017-04-24,,Female,Montpellier,167309,8294.48,200,,,4,8,0,3115
E1908,Anaïs,Bruneau,Sales,Talent Acquisition Specialist,2021-02-20,2024-12-26,Unknown,Bordeaux,202105,7770.81,0,1,No,5,10,1,1405
E1689,Alexandria,Guillou,Human Resources,Specialist,2016-10-08,2020-10-27,Unknown,Paris,43482,910.5,1000,5,No,10,3,1,1480
E1652,Juliette,Rodrigues,Engineering,Inside Sales Rep,2016-06-06,2021-10-15,Unknown,Nantes,207108,7235.65,500,2,No,1,10,1,1957
E1414,Christelle,Hernandez,Human Resources,Financial Analyst,2023-06-09,,Female,Montpellier,102857,3243.23,1200,4,No,2,6,0,878
E1321,René,Coste,Human Resources,HR Machine Learning Engineer,2022-08-26,,Unknown,Bordeaux,197738,8897.57,0,1,No,10,10,0,1165
E1536,Étienne,Hardy,Human Resources,Analyst,2021-04-06,,Non-Binary,Bordeaux,154000,7205.34,1000,4,Yes,7,2,0,1672
E1618,Margaux,Dumas,Human Resources,Technical Lead,2019-10-13,2023-09-06,Male,Remote,239594,5879.83,1200,,,8,6,1,1424
E1106,Juliette,Martinez,Marketing,Specialist,2019-10-22,,Female,Bordeaux,79901,3791.37,500,3,No,9,6,0,2204
E1751,David,De Oliveira,Sales,Technical Lead,2018-12-24,,Male,Montpellier,184776,8100.47,200,,,8,5,0,2506
E1977,Camille,Robin,Human Resources,Internal Auditor,2022-04-29,,Female,Bordeaux,196367,4789.88,500,3,Yes,9,10,0,1284
E1525,Cécile,Wagner,Finance,Customer Success Manager,2018-03-19,2021-07-09,NaN,Lyon,91105,3635.95,1000,3,No,6,9,1,1208
E1490,Hugues,Brunet,Sales,Solutions Engineer,2019-05-18,2024-12-12,Unknown,Lyon,145382,4781.29,500,1,Yes,8,10,1,2035
E1865,Laurence,Didier,Marketing,Accountant,2016-05-17,2017-10-27,Male,Remote,168365,3421.08,500,,No,10,1,1,528
E1068,Nicole,Breton,Sales,Senior Software Engineer,2019-11-29,,Male,Paris,59217,1444.94,1200,,Yes,8,4,0,2166
E1539,Hortense,Delannoy,Finance,Inside Sales Rep,2023-02-28,,NaN,Nantes,225524,9222.24,1000,5,Yes,6,8,0,979
